code,start_time,end_time
405,06:00,10:00
406,06:30,10:30
407,07:00,11:00
408,07:30,11:30
409,08:00,12:00
410,08:30,12:30
411,09:00,13:00
412,09:30,13:30
413,10:00,14:00
414,10:30,14:30
415,11:00,15:00
416,11:30,15:30
417,12:00,16:00
418,12:30,16:30
419,13:00,17:00
420,13:30,17:30
421,14:00,18:00
422,14:30,18:30
423,15:00,19:00
424,15:30,19:30
425,16:00,20:00
426,16:30,20:30
427,17:00,21:00
428,17:30,21:30
429,18:00,22:00
430,18:30,22:30
431,19:00,23:00
432,19:30,23:30
433,20:00,00:00
434,20:30,00:30
435,21:00,01:00
436,21:30,01:30
437,22:00,02:00
438,22:30,02:30
439,23:00,03:00
440,23:30,03:30
441,00:00,04:00
442,00:30,04:30
443,01:00,05:00
444,01:30,05:30
445,02:00,06:00
446,02:30,06:30
447,03:00,07:00
448,03:30,07:30
501,04:00,09:00
502,04:30,09:30
503,05:00,10:00
504,05:30,10:30
505,06:00,11:00
506,06:30,11:30
507,07:00,12:00
508,07:30,12:30
509,08:00,13:00
510,08:30,13:30
511,09:00,14:00
512,09:30,14:30
513,10:00,15:00
514,10:30,15:30
515,11:00,16:00
516,11:30,16:30
517,12:00,17:00
518,12:30,17:30
519,13:00,18:00
520,13:30,18:30
521,14:00,19:00
522,14:30,19:30
523,15:00,20:00
524,15:30,20:30
525,16:00,21:00
526,16:30,21:30
527,17:00,22:00
528,17:30,22:30
529,18:00,23:00
530,18:30,23:30
531,19:00,00:00
532,19:30,00:30
533,20:00,01:00
534,20:30,01:30
535,21:00,02:00
536,21:30,02:30
537,22:00,03:00
538,22:30,03:30
539,23:00,04:00
540,23:30,04:30
541,00:00,05:00
542,00:30,05:30
543,01:00,06:00
544,01:30,06:30
545,02:00,07:00
546,02:30,07:30
547,03:00,08:00
548,03:30,08:30
601,04:00,10:00
602,04:30,10:30
603,05:00,11:00
604,05:30,11:30
605,06:00,12:00
606,06:30,12:30
607,07:00,13:00
608,07:30,13:30
609,08:00,14:00
610,08:30,14:30
611,09:00,15:00
612,09:30,15:30
613,10:00,16:00
614,10:30,16:30
615,11:00,17:00
616,11:30,17:30
617,12:00,18:00
618,12:30,18:30
619,13:00,19:00
620,13:30,19:30
621,14:00,20:00
622,14:30,20:30
623,15:00,21:00
624,15:30,21:30
625,16:00,22:00
626,16:30,22:30
627,17:00,23:00
628,17:30,23:30
629,18:00,00:00
630,18:30,00:30
631,19:00,01:00
632,19:30,01:30
633,20:00,02:00
634,20:30,02:30
635,21:00,03:00
636,21:30,03:30
637,22:00,04:00
638,22:30,04:30
639,23:00,05:00
640,23:30,05:30
641,00:00,06:00
642,00:30,06:30
643,01:00,07:00
644,01:30,07:30
645,02:00,08:00
646,02:30,08:30
647,03:00,09:00
648,03:30,09:30
701,04:00,11:00
702,04:30,11:30
703,05:00,12:00
704,05:30,12:30
705,06:00,13:00
706,06:30,13:30
707,07:00,14:00
708,07:30,14:30
709,08:00,15:00
710,08:30,15:30
711,09:00,16:00
712,09:30,16:30
713,10:00,17:00
714,10:30,17:30
715,11:00,18:00
716,11:30,18:30
717,12:00,19:00
718,12:30,19:30
719,13:00,20:00
720,13:30,20:30
721,14:00,21:00
722,14:30,21:30
723,15:00,22:00
724,15:30,22:30
725,16:00,23:00
726,16:30,23:30
727,17:00,00:00
728,17:30,00:30
729,18:00,01:00
730,18:30,01:30
731,19:00,02:00
732,19:30,02:30
733,20:00,03:00
734,20:30,03:30
735,21:00,04:00
736,21:30,04:30
737,22:00,05:00
738,22:30,05:30
739,23:00,06:00
740,23:30,06:30
741,00:00,07:00
742,00:30,07:30
743,01:00,08:00
744,01:30,08:30
745,02:00,09:00
746,02:30,09:30
747,03:00,10:00
748,03:30,10:30
801,04:00,12:00
802,04:30,12:30
803,05:00,13:00
804,05:30,13:30
805,06:00,14:00
806,06:30,14:30
807,07:00,15:00
808,07:30,15:30
809,08:00,16:00
810,08:30,16:30
811,09:00,17:00
812,09:30,17:30
813,10:00,18:00
814,10:30,18:30
815,11:00,19:00
816,11:30,19:30
817,12:00,20:00
818,12:30,20:30
819,13:00,21:00
820,13:30,21:30
821,14:00,22:00
822,14:30,22:30
823,15:00,23:00
824,15:30,23:30
825,16:00,00:00
826,16:30,00:30
827,17:00,01:00
828,17:30,01:30
829,18:00,02:00
830,18:30,02:30
831,19:00,03:00
832,19:30,03:30
833,20:00,04:00
834,20:30,04:30
835,21:00,05:00
836,21:30,05:30
837,22:00,06:00
838,22:30,06:30
839,23:00,07:00
840,23:30,07:30
841,00:00,08:00
842,00:30,08:30
843,01:00,09:00
844,01:30,09:30
845,02:00,10:00
846,02:30,10:30
847,03:00,11:00
848,03:30,11:30
FER,NULL,NULL
FNL,NULL,NULL
RIP,NULL,NULL
